skill,month,postings_with_skill,postings_that_month,share_pct,rank_in_month
terraform,2024-07-01,585,2880,20.31,9
scala,2024-07-01,584,2880,20.28,10
hive,2024-08-01,2880,2880,100.0,1
snowflake,2024-08-01,674,2880,23.4,2
hadoop,2024-08-01,594,2880,20.63,3
airflow,2024-08-01,585,2880,20.31,4
gcp,2024-08-01,585,2880,20.31,5
aws,2024-08-01,584,2880,20.28,6
azure,2024-08-01,584,2880,20.28,7
kafka,2024-08-01,584,2880,20.28,8
spark,2024-08-01,578,2880,20.07,9
docker,2024-08-01,574,2880,19.93,10
aws,2024-09-01,2370,2880,82.29,1
hive,2024-09-01,1081,2880,37.53,2
snowflake,2024-09-01,696,2880,24.17,3
airflow,2024-09-01,585,2880,20.31,4
python,2024-09-01,585,2880,20.31,5
spark,2024-09-01,585,2880,20.31,6
sql,2024-09-01,585,2880,20.31,7
powerbi,2024-09-01,584,2880,20.28,8
tableau,2024-09-01,584,2880,20.28,9
kafka,2024-09-01,582,2880,20.21,10
aws,2024-10-01,1807,2880,62.74,1
azure,2024-10-01,1410,2880,48.96,2
snowflake,2024-10-01,718,2880,24.93,3
java,2024-10-01,586,2880,20.35,4
powerbi,2024-10-01,586,2880,20.35,5
scala,2024-10-01,586,2880,20.35,6
tableau,2024-10-01,586,2880,20.35,7
kubernetes,2024-10-01,585,2880,20.31,8
terraform,2024-10-01,585,2880,20.31,9
python,2024-10-01,573,2880,19.9,10
azure,2024-11-01,2727,2880,94.69,1
snowflake,2024-11-01,740,2880,25.69,2
gcp,2024-11-01,739,2880,25.66,3
aws,2024-11-01,586,2880,20.35,4
docker,2024-11-01,585,2880,20.31,5
kubernetes,2024-11-01,585,2880,20.31,6
terraform,2024-11-01,581,2880,20.17,7
databricks,2024-11-01,580,2880,20.14,8
java,2024-11-01,569,2880,19.76,9
scala,2024-11-01,569,2880,19.76,10
gcp,2024-12-01,2880,2880,100.0,1
snowflake,2024-12-01,762,2880,26.46,2
databricks,2024-12-01,598,2880,20.76,3
airflow,2024-12-01,585,2880,20.31,4
spark,2024-12-01,585,2880,20.31,5
sql,2024-12-01,585,2880,20.31,6
aws,2024-12-01,584,2880,20.28,7
hive,2024-12-01,584,2880,20.28,8
kafka,2024-12-01,584,2880,20.28,9
azure,2024-12-01,573,2880,19.9,10
docker,2025-01-01,2115,2880,73.44,1
gcp,2025-01-01,1178,2880,40.9,2
snowflake,2025-01-01,784,2880,27.22,3
databricks,2025-01-01,616,2880,21.39,4
python,2025-01-01,585,2880,20.31,5
sql,2025-01-01,585,2880,20.31,6
java,2025-01-01,584,2880,20.28,7
powerbi,2025-01-01,584,2880,20.28,8
tableau,2025-01-01,584,2880,20.28,9
spark,2025-01-01,581,2880,20.17,10
docker,2025-02-01,2077,2880,72.12,1
kubernetes,2025-02-01,1388,2880,48.19,2
snowflake,2025-02-01,806,2880,27.99,3
databricks,2025-02-01,634,2880,22.01,4
java,2025-02-01,586,2880,20.35,5
scala,2025-02-01,586,2880,20.35,6
terraform,2025-02-01,585,2880,20.31,7
powerbi,2025-02-01,575,2880,19.97,8
tableau,2025-02-01,571,2880,19.83,9
python,2025-02-01,570,2880,19.79,10
kubernetes,2025-03-01,2880,2880,100.0,1
snowflake,2025-03-01,828,2880,28.75,2
databricks,2025-03-01,652,2880,22.64,3
aws,2025-03-01,586,2880,20.35,4
azure,2025-03-01,586,2880,20.35,5
hive,2025-03-01,586,2880,20.35,6
gcp,2025-03-01,585,2880,20.31,7
docker,2025-03-01,581,2880,20.17,8
kafka,2025-03-01,571,2880,19.83,9
terraform,2025-03-01,570,2880,19.79,10
terraform,2025-04-01,2828,2880,98.19,1
snowflake,2025-04-01,850,2880,29.51,2
databricks,2025-04-01,670,2880,23.26,3
airflow,2025-04-01,585,2880,20.31,4
python,2025-04-01,585,2880,20.31,5
spark,2025-04-01,585,2880,20.31,6
sql,2025-04-01,585,2880,20.31,7
kafka,2025-04-01,584,2880,20.28,8
hive,2025-04-01,573,2880,19.9,9
aws,2025-04-01,569,2880,19.76,10
scala,2025-05-01,2100,2880,72.92,1
terraform,2025-05-01,1365,2880,47.4,2
snowflake,2025-05-01,872,2880,30.28,3
databricks,2025-05-01,688,2880,23.89,4
java,2025-05-01,584,2880,20.28,5
powerbi,2025-05-01,584,2880,20.28,6
tableau,2025-05-01,584,2880,20.28,7
python,2025-05-01,581,2880,20.17,8
spark,2025-05-01,570,2880,19.79,9
sql,2025-05-01,570,2880,19.79,10
scala,2025-06-01,2322,2880,80.63,1
java,2025-06-01,1133,2880,39.34,2
snowflake,2025-06-01,894,2880,31.04,3
databricks,2025-06-01,706,2880,24.51,4
docker,2025-06-01,585,2880,20.31,5
gcp,2025-06-01,585,2880,20.31,6
kubernetes,2025-06-01,585,2880,20.31,7
terraform,2025-06-01,585,2880,20.31,8
powerbi,2025-06-01,571,2880,19.83,9
tableau,2025-06-01,556,2880,19.31,10
