skill,quarter,mentions,postings,share_pct,change_pp,growth_rank
airflow,2025-01-01,1414,8640,16.36574074074074,-0.9606481481481488,15
terraform,2025-01-01,1515,8640,17.53472222222222,-1.2615740740740762,16
hadoop,2025-01-01,1098,8640,12.708333333333334,-3.958333333333334,17
aws,2025-01-01,1501,8640,17.372685185185187,-17.083333333333332,18
gcp,2025-01-01,2265,8640,26.21527777777778,-19.837962962962962,19
azure,2025-01-01,1403,8640,16.238425925925927,-38.27546296296296,20
terraform,2025-04-01,4778,8640,55.300925925925924,37.7662037037037,1
scala,2025-04-01,4763,8640,55.12731481481482,36.81712962962963,2
java,2025-04-01,2078,8640,24.050925925925927,4.097222222222225,3
python,2025-04-01,1721,8640,19.91898148148148,2.731481481481481,4
snowflake,2025-04-01,2616,8640,30.27777777777778,2.291666666666668,5
spark,2025-04-01,1654,8640,19.14351851851852,2.141203703703706,6
databricks,2025-04-01,2064,8640,23.88888888888889,1.875,7
sql,2025-04-01,1653,8640,19.131944444444443,1.8055555555555536,8
dbt,2025-04-01,1308,8640,15.13888888888889,1.145833333333334,9
azure,2025-04-01,1484,8640,17.175925925925927,0.9375,10
airflow,2025-04-01,1489,8640,17.233796296296298,0.8680555555555571,11
kafka,2025-04-01,1499,8640,17.349537037037038,0.15046296296296546,12
hive,2025-04-01,1488,8640,17.22222222222222,-0.023148148148148806,13
tableau,2025-04-01,1538,8640,17.800925925925927,-1.3310185185185155,14
aws,2025-04-01,1386,8640,16.041666666666668,-1.331018518518519,15
powerbi,2025-04-01,1516,8640,17.546296296296298,-1.377314814814813,16
hadoop,2025-04-01,756,8640,8.75,-3.958333333333334,17
gcp,2025-04-01,1496,8640,17.314814814814813,-8.900462962962965,18
kubernetes,2025-04-01,1455,8640,16.84027777777778,-36.67824074074074,19
docker,2025-04-01,1500,8640,17.36111111111111,-37.88194444444444,20
