skill,month,postings_with_skill,postings_that_month,skill_share,rank_in_month
docker,2024-09-01,443,2880,0.15381944444444445,15
gcp,2024-09-01,457,2880,0.15868055555555555,14
hadoop,2024-09-01,556,2880,0.19305555555555556,12
hive,2024-09-01,1081,2880,0.3753472222222222,2
java,2024-09-01,404,2880,0.14027777777777778,16
kafka,2024-09-01,582,2880,0.20208333333333334,10
kubernetes,2024-09-01,330,2880,0.11458333333333333,19
powerbi,2024-09-01,584,2880,0.20277777777777778,8
python,2024-09-01,585,2880,0.203125,5
scala,2024-09-01,355,2880,0.1232638888888889,17
snowflake,2024-09-01,696,2880,0.24166666666666667,3
spark,2024-09-01,585,2880,0.203125,6
sql,2024-09-01,585,2880,0.203125,7
tableau,2024-09-01,584,2880,0.20277777777777778,9
terraform,2024-09-01,330,2880,0.11458333333333333,20
airflow,2024-10-01,555,2880,0.19270833333333334,14
aws,2024-10-01,1807,2880,0.6274305555555556,1
azure,2024-10-01,1410,2880,0.4895833333333333,2
databricks,2024-10-01,562,2880,0.1951388888888889,13
dbt,2024-10-01,359,2880,0.12465277777777778,20
docker,2024-10-01,472,2880,0.1638888888888889,16
gcp,2024-10-01,360,2880,0.125,19
hadoop,2024-10-01,518,2880,0.1798611111111111,15
hive,2024-10-01,374,2880,0.12986111111111112,18
java,2024-10-01,586,2880,0.20347222222222222,4
kafka,2024-10-01,457,2880,0.15868055555555555,17
kubernetes,2024-10-01,585,2880,0.203125,8
powerbi,2024-10-01,586,2880,0.20347222222222222,5
python,2024-10-01,573,2880,0.19895833333333332,10
scala,2024-10-01,586,2880,0.20347222222222222,6
snowflake,2024-10-01,718,2880,0.24930555555555556,3
spark,2024-10-01,570,2880,0.19791666666666666,11
sql,2024-10-01,570,2880,0.19791666666666666,12
tableau,2024-10-01,586,2880,0.20347222222222222,7
terraform,2024-10-01,585,2880,0.203125,9
airflow,2024-11-01,357,2880,0.12395833333333334,18
aws,2024-11-01,586,2880,0.20347222222222222,4
azure,2024-11-01,2727,2880,0.946875,1
databricks,2024-11-01,580,2880,0.2013888888888889,8
dbt,2024-11-01,370,2880,0.1284722222222222,16
docker,2024-11-01,585,2880,0.203125,5
gcp,2024-11-01,739,2880,0.2565972222222222,3
hadoop,2024-11-01,480,2880,0.16666666666666666,15
hive,2024-11-01,541,2880,0.18784722222222222,12
java,2024-11-01,569,2880,0.19756944444444444,9
kafka,2024-11-01,361,2880,0.12534722222222222,17
kubernetes,2024-11-01,585,2880,0.203125,6
powerbi,2024-11-01,562,2880,0.1951388888888889,11
python,2024-11-01,499,2880,0.17326388888888888,14
scala,2024-11-01,569,2880,0.19756944444444444,10
snowflake,2024-11-01,740,2880,0.2569444444444444,2
spark,2024-11-01,330,2880,0.11458333333333333,19
sql,2024-11-01,330,2880,0.11458333333333333,20
tableau,2024-11-01,506,2880,0.17569444444444443,13
terraform,2024-11-01,581,2880,0.20173611111111112,7
airflow,2024-12-01,585,2880,0.203125,4
aws,2024-12-01,584,2880,0.20277777777777778,7
azure,2024-12-01,573,2880,0.19895833333333332,10
databricks,2024-12-01,598,2880,0.2076388888888889,3
dbt,2024-12-01,381,2880,0.13229166666666667,17
docker,2024-12-01,570,2880,0.19791666666666666,11
gcp,2024-12-01,2880,2880,1.0,1
hadoop,2024-12-01,442,2880,0.15347222222222223,15
hive,2024-12-01,584,2880,0.20277777777777778,8
java,2024-12-01,331,2880,0.11493055555555555,20
kafka,2024-12-01,584,2880,0.20277777777777778,9
kubernetes,2024-12-01,555,2880,0.19270833333333334,12
powerbi,2024-12-01,341,2880,0.11840277777777777,19
python,2024-12-01,383,2880,0.1329861111111111,16
scala,2024-12-01,481,2880,0.16701388888888888,13
snowflake,2024-12-01,762,2880,0.26458333333333334,2
spark,2024-12-01,585,2880,0.203125,5
sql,2024-12-01,585,2880,0.203125,6
tableau,2024-12-01,361,2880,0.12534722222222222,18
terraform,2024-12-01,458,2880,0.15902777777777777,14
airflow,2025-01-01,570,2880,0.19791666666666666,12
aws,2025-01-01,556,2880,0.19305555555555556,14
azure,2025-01-01,458,2880,0.15902777777777777,15
databricks,2025-01-01,616,2880,0.21388888888888888,4
dbt,2025-01-01,392,2880,0.1361111111111111,18
docker,2025-01-01,2115,2880,0.734375,1
gcp,2025-01-01,1178,2880,0.40902777777777777,2
hadoop,2025-01-01,404,2880,0.14027777777777778,17
hive,2025-01-01,563,2880,0.1954861111111111,13
java,2025-01-01,584,2880,0.20277777777777778,7
kafka,2025-01-01,571,2880,0.19826388888888888,11
kubernetes,2025-01-01,356,2880,0.12361111111111112,20
powerbi,2025-01-01,584,2880,0.20277777777777778,8
python,2025-01-01,585,2880,0.203125,5
scala,2025-01-01,434,2880,0.15069444444444444,16
snowflake,2025-01-01,784,2880,0.2722222222222222,3
spark,2025-01-01,581,2880,0.20173611111111112,10
sql,2025-01-01,585,2880,0.203125,6
tableau,2025-01-01,584,2880,0.20277777777777778,9
terraform,2025-01-01,360,2880,0.125,19
airflow,2025-02-01,484,2880,0.16805555555555557,14
aws,2025-02-01,359,2880,0.12465277777777778,17
azure,2025-02-01,359,2880,0.12465277777777778,18
databricks,2025-02-01,634,2880,0.22013888888888888,4
dbt,2025-02-01,403,2880,0.13993055555555556,15
docker,2025-02-01,2077,2880,0.7211805555555556,1
gcp,2025-02-01,502,2880,0.17430555555555555,13
hadoop,2025-02-01,366,2880,0.12708333333333333,16
hive,2025-02-01,341,2880,0.11840277777777777,20
java,2025-02-01,586,2880,0.20347222222222222,5
kafka,2025-02-01,344,2880,0.11944444444444445,19
kubernetes,2025-02-01,1388,2880,0.48194444444444445,2
powerbi,2025-02-01,575,2880,0.1996527777777778,8
python,2025-02-01,570,2880,0.19791666666666666,10
scala,2025-02-01,586,2880,0.20347222222222222,6
snowflake,2025-02-01,806,2880,0.2798611111111111,3
spark,2025-02-01,528,2880,0.18333333333333332,12
sql,2025-02-01,555,2880,0.19270833333333334,11
tableau,2025-02-01,571,2880,0.19826388888888888,9
terraform,2025-02-01,585,2880,0.203125,7
airflow,2025-03-01,360,2880,0.125,16
aws,2025-03-01,586,2880,0.20347222222222222,4
azure,2025-03-01,586,2880,0.20347222222222222,5
databricks,2025-03-01,652,2880,0.2263888888888889,3
dbt,2025-03-01,414,2880,0.14375,15
docker,2025-03-01,581,2880,0.20173611111111112,8
gcp,2025-03-01,585,2880,0.203125,7
hadoop,2025-03-01,328,2880,0.11388888888888889,20
hive,2025-03-01,586,2880,0.20347222222222222,6
java,2025-03-01,554,2880,0.19236111111111112,12
kafka,2025-03-01,571,2880,0.19826388888888888,9
kubernetes,2025-03-01,2880,2880,1.0,1
powerbi,2025-03-01,476,2880,0.16527777777777777,14
python,2025-03-01,330,2880,0.11458333333333333,19
scala,2025-03-01,562,2880,0.1951388888888889,11
snowflake,2025-03-01,828,2880,0.2875,2
spark,2025-03-01,360,2880,0.125,17
sql,2025-03-01,357,2880,0.12395833333333334,18
tableau,2025-03-01,498,2880,0.17291666666666666,13
terraform,2025-03-01,570,2880,0.19791666666666666,10
airflow,2025-04-01,585,2880,0.203125,4
aws,2025-04-01,569,2880,0.19756944444444444,10
azure,2025-04-01,569,2880,0.19756944444444444,11
databricks,2025-04-01,670,2880,0.2326388888888889,3
dbt,2025-04-01,425,2880,0.14756944444444445,15
docker,2025-04-01,555,2880,0.19270833333333334,12
gcp,2025-04-01,555,2880,0.19270833333333334,13
hadoop,2025-04-01,290,2880,0.10069444444444445,20
hive,2025-04-01,573,2880,0.19895833333333332,9
java,2025-04-01,361,2880,0.12534722222222222,17
kafka,2025-04-01,584,2880,0.20277777777777778,8
kubernetes,2025-04-01,510,2880,0.17708333333333334,14
powerbi,2025-04-01,361,2880,0.12534722222222222,18
python,2025-04-01,585,2880,0.203125,5
scala,2025-04-01,341,2880,0.11840277777777777,19
snowflake,2025-04-01,850,2880,0.2951388888888889,2
spark,2025-04-01,585,2880,0.203125,6
sql,2025-04-01,585,2880,0.203125,7
tableau,2025-04-01,398,2880,0.13819444444444445,16
terraform,2025-04-01,2828,2880,0.9819444444444444,1
airflow,2025-05-01,562,2880,0.1951388888888889,11
aws,2025-05-01,458,2880,0.15902777777777777,14
azure,2025-05-01,383,2880,0.1329861111111111,16
databricks,2025-05-01,688,2880,0.2388888888888889,4
dbt,2025-05-01,436,2880,0.15138888888888888,15
docker,2025-05-01,360,2880,0.125,17
gcp,2025-05-01,356,2880,0.12361111111111112,19
hadoop,2025-05-01,252,2880,0.0875,20
hive,2025-05-01,556,2880,0.19305555555555556,12
java,2025-05-01,584,2880,0.20277777777777778,5
kafka,2025-05-01,556,2880,0.19305555555555556,13
kubernetes,2025-05-01,360,2880,0.125,18
powerbi,2025-05-01,584,2880,0.20277777777777778,6
python,2025-05-01,581,2880,0.20173611111111112,8
scala,2025-05-01,2100,2880,0.7291666666666666,1
snowflake,2025-05-01,872,2880,0.30277777777777776,3
spark,2025-05-01,570,2880,0.19791666666666666,9
sql,2025-05-01,570,2880,0.19791666666666666,10
tableau,2025-05-01,584,2880,0.20277777777777778,7
terraform,2025-05-01,1365,2880,0.4739583333333333,2
airflow,2025-06-01,342,2880,0.11875,19
aws,2025-06-01,359,2880,0.12465277777777778,16
azure,2025-06-01,532,2880,0.18472222222222223,12
databricks,2025-06-01,706,2880,0.24513888888888888,4
dbt,2025-06-01,447,2880,0.15520833333333334,15
docker,2025-06-01,585,2880,0.203125,5
gcp,2025-06-01,585,2880,0.203125,6
hadoop,2025-06-01,214,2880,0.07430555555555556,20
hive,2025-06-01,359,2880,0.12465277777777778,17
java,2025-06-01,1133,2880,0.39340277777777777,2
kafka,2025-06-01,359,2880,0.12465277777777778,18
kubernetes,2025-06-01,585,2880,0.203125,7
powerbi,2025-06-01,571,2880,0.19826388888888888,9
python,2025-06-01,555,2880,0.19270833333333334,11
scala,2025-06-01,2322,2880,0.80625,1
snowflake,2025-06-01,894,2880,0.3104166666666667,3
spark,2025-06-01,499,2880,0.17326388888888888,13
sql,2025-06-01,498,2880,0.17291666666666666,14
tableau,2025-06-01,556,2880,0.19305555555555556,10
terraform,2025-06-01,585,2880,0.203125,8
